Tabelle: 12241-0001
EU-SILC - Primary residence households, household income:;;;;
Germany, years, household type;;;;
Income and living conditions (EU-SILC);;;;;;;
Germany;;;;;;;
;;Primary residence households;;Average household gross income;;Average household net income;
;;1000;1000;EUR/year;EUR/year;EUR/year;EUR/year
2020;Households without children;31173;e;53147;e;37534;e
;Persons living alone;16468;e;33828;e;24784;e
;Two adults without children;12830;e;70925;e;49169;e
;Three or more adults without children;1875;e;101163;e;69888;e
;Households with children;9363;e;91365;e;61868;e
;Lone parents;1485;e;41871;e;32968;e
;Two adults with children;7021;e;99012;e;65812;e
;Three or more adults with children;857;e;114488;e;79641;e
;Total;40540;e;61979;e;43158;e
2021;Households without children;31417;e;50148;e;36747;e
;Persons living alone;17065;e;33483;e;24395;e
;Two adults without children;12687;e;66366;e;49235;e
;Three or more adults without children;1664;e;97403;e;68200;e
;Households with children;9556;e;85139;e;58793;e
;Lone parents;1620;e;46174;e;35341;e
;Two adults with children;7135;e;91606;e;62718;e
;Three or more adults with children;800;e;106378;e;71287;e
;Total;40974;e;58309;e;41887;e
2022;Households without children;31281;e;50599;e;36113;e
;Persons living alone;16804;e;34015;e;24608;e
;Two adults without children;12733;e;66590;e;47172;e
;Three or more adults without children;1744;e;93637;e;66216;e
;Households with children;9678;e;83905;e;58442;e
;Lone parents;1679;e;42283;e;33422;e
;Two adults with children;7152;e;91332;e;62484;e
;Three or more adults with children;847;e;103718;e;73926;e
;Total;40960;e;58470;e;41390;e
2023;Households without children;31544;e;53669;e;38043;e
;Persons living alone;17000;e;35067;e;25403;e
;Two adults without children;12792;e;71726;e;50234;e
;Three or more adults without children;1752;e;102329;e;71675;e
;Households with children;9786;e;90905;e;62336;e
;Lone parents;1701;e;45288;e;35559;e
;Two adults with children;7210;e;98866;e;66518;e
;Three or more adults with children;875;e;113963;e;79929;e
;Total;41330;e;62485;e;43795;e
2024;Households without children;31664;e;55886;e;39584;e
;Persons living alone;17190;e;36392;e;26336;e
;Two adults without children;12715;e;74891;e;52453;e
;Three or more adults without children;1759;e;109017;e;76032;e
;Households with children;9808;e;96706;e;66144;e
;Lone parents;1747;e;47496;e;37115;e
;Two adults with children;7182;e;106148;e;71172;e
;Three or more adults with children;879;e;117348;e;82746;e
;Total;41472;e;65539;e;45865;e
__________
© Statistisches Bundesamt (Destatis), 2025
created: 2025-10-23 / 15:00:53
